age,path,split
69,imdb_crop/01/nm0000001_rm946909184_1899-5-10_1968.jpg,train
69,imdb_crop/01/nm0000001_rm980463616_1899-5-10_1968.jpg,test
79,imdb_crop/02/nm0000002_rm1346607872_1924-9-16_2004.jpg,train
79,imdb_crop/02/nm0000002_rm1363385088_1924-9-16_2004.jpg,test
49,imdb_crop/02/nm0000002_rm221957120_1924-9-16_1974.jpg,train
82,imdb_crop/02/nm0000002_rm2287049216_1924-9-16_2007.jpg,test
49,imdb_crop/02/nm0000002_rm238734336_1924-9-16_1974.jpg,train
81,imdb_crop/02/nm0000002_rm2585828096_1924-9-16_2006.jpg,val
81,imdb_crop/02/nm0000002_rm2769394176_1924-9-16_2006.jpg,train
79,imdb_crop/02/nm0000002_rm2780403712_1924-9-16_2004.jpg,val
82,imdb_crop/02/nm0000002_rm2983566080_1924-9-16_2007.jpg,val
82,imdb_crop/02/nm0000002_rm3453524224_1924-9-16_2007.jpg,val
66,imdb_crop/02/nm0000002_rm370988544_1924-9-16_1991.jpg,val
81,imdb_crop/02/nm0000002_rm3730086656_1924-9-16_2006.jpg,val
81,imdb_crop/02/nm0000002_rm3954154240_1924-9-16_2006.jpg,train
85,imdb_crop/02/nm0000002_rm4111175424_1924-9-16_2010.jpg,val
65,imdb_crop/02/nm0000002_rm4213815808_1924-9-16_1990.jpg,test
66,imdb_crop/02/nm0000002_rm505206272_1924-9-16_1991.jpg,train
81,imdb_crop/02/nm0000002_rm800626688_1924-9-16_2006.jpg,test
80,imdb_crop/02/nm0000002_rm81958912_1924-9-16_2005.jpg,test
66,imdb_crop/02/nm0000002_rm991745536_1924-9-16_1991.jpg,test
28,imdb_crop/03/nm0000003_rm1883436032_1934-9-28_1963.jpg,train
28,imdb_crop/03/nm0000003_rm1900213248_1934-9-28_1963.jpg,train
28,imdb_crop/03/nm0000003_rm2034430976_1934-9-28_1963.jpg,train
28,imdb_crop/03/nm0000003_rm2051208192_1934-9-28_1963.jpg,train
28,imdb_crop/03/nm0000003_rm2067985408_1934-9-28_1963.jpg,train
28,imdb_crop/03/nm0000003_rm2148710400_1934-9-28_1963.jpg,train
30,imdb_crop/03/nm0000003_rm3428825856_1934-9-28_1965.jpg,val
29,imdb_crop/04/nm0000004_rm1553583616_1949-1-24_1978.jpg,train
29,imdb_crop/04/nm0000004_rm1570360832_1949-1-24_1978.jpg,train
29,imdb_crop/04/nm0000004_rm1727967232_1949-1-24_1978.jpg,train
29,imdb_crop/04/nm0000004_rm419344384_1949-1-24_1978.jpg,train
84,imdb_crop/05/nm0000005_rm1521844480_1918-7-14_2003.jpg,train
84,imdb_crop/05/nm0000005_rm2713819392_1918-7-14_2003.jpg,val
84,imdb_crop/05/nm0000005_rm2898368768_1918-7-14_2003.jpg,val
58,imdb_crop/06/nm0000006_rm221957120_1915-8-29_1974.jpg,train
48,imdb_crop/08/nm0000008_rm1238402304_1924-4-3_1972.jpg,train
48,imdb_crop/08/nm0000008_rm1322288384_1924-4-3_1972.jpg,train
48,imdb_crop/08/nm0000008_rm1355842816_1924-4-3_1972.jpg,val
48,imdb_crop/08/nm0000008_rm1422951680_1924-4-3_1972.jpg,train
48,imdb_crop/08/nm0000008_rm1560581632_1924-4-3_1972.jpg,train
39,imdb_crop/08/nm0000008_rm1922862592_1924-4-3_1963.jpg,train
39,imdb_crop/08/nm0000008_rm1939639808_1924-4-3_1963.jpg,train
39,imdb_crop/08/nm0000008_rm1956417024_1924-4-3_1963.jpg,train
39,imdb_crop/08/nm0000008_rm1989971456_1924-4-3_1963.jpg,train
72,imdb_crop/08/nm0000008_rm2191825152_1924-4-3_1996.jpg,train
86,imdb_crop/08/nm0000008_rm2318828288_1924-4-3_2010.jpg,test
66,imdb_crop/08/nm0000008_rm2349567488_1924-4-3_1990.jpg,train
66,imdb_crop/08/nm0000008_rm2450230784_1924-4-3_1990.jpg,train
70,imdb_crop/08/nm0000008_rm2514467328_1924-4-3_1994.jpg,test
66,imdb_crop/08/nm0000008_rm2534116864_1924-4-3_1990.jpg,test
40,imdb_crop/08/nm0000008_rm3248131584_1924-4-3_1964.jpg,train
52,imdb_crop/08/nm0000008_rm3626613248_1924-4-3_1976.jpg,train
52,imdb_crop/08/nm0000008_rm3643390464_1924-4-3_1976.jpg,test
52,imdb_crop/08/nm0000008_rm3693722112_1924-4-3_1976.jpg,train
48,imdb_crop/08/nm0000008_rm3947266304_1924-4-3_1972.jpg,train
48,imdb_crop/08/nm0000008_rm3980820736_1924-4-3_1972.jpg,train
70,imdb_crop/08/nm0000008_rm4024416768_1924-4-3_1994.jpg,train
66,imdb_crop/08/nm0000008_rm4175344384_1924-4-3_1990.jpg,test
54,imdb_crop/08/nm0000008_rm490523648_1924-4-3_1978.jpg,train
72,imdb_crop/08/nm0000008_rm790334976_1924-4-3_1996.jpg,train
37,imdb_crop/09/nm0000009_rm0447488_1925-11-10_1963.jpg,test
37,imdb_crop/09/nm0000009_rm117888000_1925-11-10_1963.jpg,train
37,imdb_crop/09/nm0000009_rm2221316352_1925-11-10_1963.jpg,train
37,imdb_crop/09/nm0000009_rm2271648000_1925-11-10_1963.jpg,train
37,imdb_crop/09/nm0000009_rm2425261056_1925-11-10_1963.jpg,train
43,imdb_crop/09/nm0000009_rm2458635776_1925-11-10_1969.jpg,train
37,imdb_crop/09/nm0000009_rm2458815488_1925-11-10_1963.jpg,val
43,imdb_crop/09/nm0000009_rm2525744640_1925-11-10_1969.jpg,train
43,imdb_crop/09/nm0000009_rm2559299072_1925-11-10_1969.jpg,train
37,imdb_crop/09/nm0000009_rm2643364864_1925-11-10_1963.jpg,train
43,imdb_crop/09/nm0000009_rm2659962368_1925-11-10_1969.jpg,train
43,imdb_crop/09/nm0000009_rm2676739584_1925-11-10_1969.jpg,train
37,imdb_crop/09/nm0000009_rm34001920_1925-11-10_1963.jpg,train
58,imdb_crop/09/nm0000009_rm3643769856_1925-11-10_1984.jpg,train
43,imdb_crop/09/nm0000009_rm3834367488_1925-11-10_1969.jpg,train
43,imdb_crop/09/nm0000009_rm3851144704_1925-11-10_1969.jpg,train
43,imdb_crop/09/nm0000009_rm3884699136_1925-11-10_1969.jpg,train
58,imdb_crop/09/nm0000009_rm539001856_1925-11-10_1984.jpg,train
38,imdb_crop/09/nm0000009_rm558215168_1925-11-10_1964.jpg,train
51,imdb_crop/09/nm0000009_rm559514880_1925-11-10_1977.jpg,train
38,imdb_crop/09/nm0000009_rm591769600_1925-11-10_1964.jpg,val
51,imdb_crop/09/nm0000009_rm609846528_1925-11-10_1977.jpg,val
58,imdb_crop/09/nm0000009_rm639665152_1925-11-10_1984.jpg,val
51,imdb_crop/09/nm0000009_rm660178176_1925-11-10_1977.jpg,val
81,imdb_crop/10/nm0000010_rm3776482816_1899-7-17_1981.jpg,val
61,imdb_crop/10/nm0000010_rm3821517568_1899-7-17_1961.jpg,train
81,imdb_crop/10/nm0000010_rm3877146112_1899-7-17_1981.jpg,val
61,imdb_crop/10/nm0000010_rm3972512512_1899-7-17_1961.jpg,train
54,imdb_crop/12/nm0000012_rm1344778240_1908-4-5_1962.jpg,train
54,imdb_crop/12/nm0000012_rm1546104832_1908-4-5_1962.jpg,train
41,imdb_crop/13/nm0000013_rm3248338944_1922-4-3_1963.jpg,train
44,imdb_crop/13/nm0000013_rm3429937152_1922-4-3_1966.jpg,train
39,imdb_crop/13/nm0000013_rm3813644544_1922-4-3_1961.jpg,train
40,imdb_crop/13/nm0000013_rm661565440_1922-4-3_1962.jpg,train
59,imdb_crop/17/nm0000017_rm3392046080_1901-12-27_1961.jpg,test
77,imdb_crop/18/nm0000018_rm1329106432_1916-12-9_1994.jpg,val
93,imdb_crop/18/nm0000018_rm1432335616_1916-12-9_2010.jpg,val
93,imdb_crop/18/nm0000018_rm1449112832_1916-12-9_2010.jpg,val
52,imdb_crop/18/nm0000018_rm1570091008_1916-12-9_1969.jpg,train
86,imdb_crop/18/nm0000018_rm1902885376_1916-12-9_2003.jpg,val
77,imdb_crop/18/nm0000018_rm1916308992_1916-12-9_1994.jpg,test
86,imdb_crop/18/nm0000018_rm2087434752_1916-12-9_2003.jpg,test
77,imdb_crop/18/nm0000018_rm2959722752_1916-12-9_1994.jpg,train
77,imdb_crop/18/nm0000018_rm2993277184_1916-12-9_1994.jpg,val
77,imdb_crop/18/nm0000018_rm3010054400_1916-12-9_1994.jpg,val
53,imdb_crop/18/nm0000018_rm4139749888_1916-12-9_1970.jpg,train
48,imdb_crop/18/nm0000018_rm931712512_1916-12-9_1965.jpg,test
43,imdb_crop/19/nm0000019_rm121622016_1920-1-20_1963.jpg,train
49,imdb_crop/19/nm0000019_rm2592537088_1920-1-20_1969.jpg,train
63,imdb_crop/19/nm0000019_rm2609314304_1920-1-20_1983.jpg,train
52,imdb_crop/19/nm0000019_rm3766942208_1920-1-20_1972.jpg,train
49,imdb_crop/19/nm0000019_rm3884382720_1920-1-20_1969.jpg,train
63,imdb_crop/20/nm0000020_rm1158525440_1905-5-16_1968.jpg,train
68,imdb_crop/20/nm0000020_rm1614400512_1905-5-16_1973.jpg,train
68,imdb_crop/20/nm0000020_rm3969113088_1905-5-16_1973.jpg,test
65,imdb_crop/20/nm0000020_rm4139749888_1905-5-16_1970.jpg,test
60,imdb_crop/22/nm0000022_rm3223960064_1901-2-1_1961.jpg,train
60,imdb_crop/22/nm0000022_rm3391732224_1901-2-1_1961.jpg,train
60,imdb_crop/22/nm0000022_rm3442063872_1901-2-1_1961.jpg,train
60,imdb_crop/22/nm0000022_rm3509172736_1901-2-1_1961.jpg,train
40,imdb_crop/23/nm0000023_rm1196333056_1922-6-10_1962.jpg,train
39,imdb_crop/23/nm0000023_rm1396742144_1922-6-10_1961.jpg,train
41,imdb_crop/23/nm0000023_rm1799395328_1922-6-10_1963.jpg,train
42,imdb_crop/23/nm0000023_rm1816172544_1922-6-10_1964.jpg,train
40,imdb_crop/23/nm0000023_rm2018416640_1922-6-10_1962.jpg,train
41,imdb_crop/23/nm0000023_rm3177289728_1922-6-10_1963.jpg,train
39,imdb_crop/23/nm0000023_rm3543041024_1922-6-10_1961.jpg,train
88,imdb_crop/24/nm0000024_rm2104020480_1904-4-14_1992.jpg,val
70,imdb_crop/24/nm0000024_rm255511552_1904-4-14_1974.jpg,val
78,imdb_crop/24/nm0000024_rm2746069760_1904-4-14_1982.jpg,val
85,imdb_crop/24/nm0000024_rm3473444352_1904-4-14_1989.jpg,val
92,imdb_crop/24/nm0000024_rm3920271616_1904-4-14_1996.jpg,train
76,imdb_crop/24/nm0000024_rm4247948800_1904-4-14_1980.jpg,val
70,imdb_crop/24/nm0000024_rm456838144_1904-4-14_1974.jpg,train
92,imdb_crop/24/nm0000024_rm758943232_1904-4-14_1996.jpg,val
73,imdb_crop/24/nm0000024_rm872661504_1904-4-14_1977.jpg,val
63,imdb_crop/27/nm0000027_rm1143377664_1914-4-2_1977.jpg,train
63,imdb_crop/27/nm0000027_rm1227263744_1914-4-2_1977.jpg,train
69,imdb_crop/27/nm0000027_rm738624256_1914-4-2_1983.jpg,train
42,imdb_crop/29/nm0000029_rm2440141312_1954-2-16_1996.jpg,train
35,imdb_crop/30/nm0000030_rm1626519296_1929-5-4_1964.jpg,train
35,imdb_crop/30/nm0000030_rm1954986752_1929-5-4_1964.jpg,train
35,imdb_crop/30/nm0000030_rm3412315136_1929-5-4_1964.jpg,train
35,imdb_crop/30/nm0000030_rm3445869568_1929-5-4_1964.jpg,train
81,imdb_crop/30/nm0000030_rm348371200_1929-5-4_2010.jpg,test
34,imdb_crop/30/nm0000030_rm3864901376_1929-5-4_1963.jpg,train
35,imdb_crop/30/nm0000030_rm4265783296_1929-5-4_1964.jpg,train
32,imdb_crop/30/nm0000030_rm631079936_1929-5-4_1961.jpg,train
61,imdb_crop/31/nm0000031_rm1667611136_1907-5-12_1968.jpg,train
61,imdb_crop/31/nm0000031_rm1835383296_1907-5-12_1968.jpg,train
61,imdb_crop/31/nm0000031_rm1969601024_1907-5-12_1968.jpg,train
46,imdb_crop/32/nm0000032_rm1254870016_1923-10-4_1970.jpg,train
44,imdb_crop/32/nm0000032_rm2388363008_1923-10-4_1968.jpg,train
46,imdb_crop/32/nm0000032_rm2753135872_1923-10-4_1970.jpg,train
70,imdb_crop/32/nm0000032_rm2971130880_1923-10-4_1994.jpg,train
72,imdb_crop/32/nm0000032_rm3309211136_1923-10-4_1996.jpg,val
39,imdb_crop/32/nm0000032_rm3770076672_1923-10-4_1963.jpg,train
74,imdb_crop/32/nm0000032_rm3984235264_1923-10-4_1998.jpg,val
74,imdb_crop/32/nm0000032_rm4001012480_1923-10-4_1998.jpg,test
39,imdb_crop/32/nm0000032_rm4021734912_1923-10-4_1963.jpg,train
72,imdb_crop/32/nm0000032_rm4047408640_1923-10-4_1996.jpg,val
77,imdb_crop/32/nm0000032_rm506501888_1923-10-4_2001.jpg,train
49,imdb_crop/32/nm0000032_rm645975552_1923-10-4_1973.jpg,train
72,imdb_crop/32/nm0000032_rm658279936_1923-10-4_1996.jpg,test
49,imdb_crop/32/nm0000032_rm679529984_1923-10-4_1973.jpg,train
49,imdb_crop/32/nm0000032_rm780193280_1923-10-4_1973.jpg,train
49,imdb_crop/32/nm0000032_rm830524928_1923-10-4_1973.jpg,train
41,imdb_crop/32/nm0000032_rm908559616_1923-10-4_1965.jpg,train
49,imdb_crop/32/nm0000032_rm931188224_1923-10-4_1973.jpg,train
72,imdb_crop/32/nm0000032_rm972593920_1923-10-4_1996.jpg,train
72,imdb_crop/33/nm0000033_rm3465465344_1899-8-13_1972.jpg,train
72,imdb_crop/33/nm0000033_rm3482242560_1899-8-13_1972.jpg,test
72,imdb_crop/33/nm0000033_rm3787776_1899-8-13_1972.jpg,test
72,imdb_crop/33/nm0000033_rm54119424_1899-8-13_1972.jpg,train
56,imdb_crop/34/nm0000034_rm2067450880_1918-4-17_1974.jpg,train
58,imdb_crop/34/nm0000034_rm2453898240_1918-4-17_1976.jpg,train
58,imdb_crop/34/nm0000034_rm2604893184_1918-4-17_1976.jpg,train
51,imdb_crop/34/nm0000034_rm2743913984_1918-4-17_1969.jpg,test
51,imdb_crop/34/nm0000034_rm2777468416_1918-4-17_1969.jpg,test
51,imdb_crop/34/nm0000034_rm2811022848_1918-4-17_1969.jpg,train
51,imdb_crop/34/nm0000034_rm2878131712_1918-4-17_1969.jpg,train
58,imdb_crop/34/nm0000034_rm310935808_1918-4-17_1976.jpg,train
49,imdb_crop/35/nm0000035_rm1030855424_1953-8-14_2003.jpg,train
70,imdb_crop/40/nm0000040_rm1111931136_1928-7-26_1999.jpg,train
58,imdb_crop/40/nm0000040_rm2757151744_1928-7-26_1987.jpg,train
42,imdb_crop/40/nm0000040_rm2878191872_1928-7-26_1971.jpg,train
42,imdb_crop/40/nm0000040_rm2894969088_1928-7-26_1971.jpg,train
70,imdb_crop/40/nm0000040_rm3260468224_1928-7-26_1999.jpg,test
75,imdb_crop/41/nm0000041_rm1970598912_1910-3-23_1985.jpg,train
63,imdb_crop/44/nm0000044_rm1668004352_1913-11-2_1977.jpg,train
56,imdb_crop/44/nm0000044_rm2009844736_1913-11-2_1970.jpg,train
56,imdb_crop/44/nm0000044_rm2110508032_1913-11-2_1970.jpg,train
56,imdb_crop/44/nm0000044_rm2127285248_1913-11-2_1970.jpg,test
48,imdb_crop/44/nm0000044_rm2147845120_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2181399552_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2214953984_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2315617280_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2332394496_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2365948928_1913-11-2_1962.jpg,train
48,imdb_crop/44/nm0000044_rm2533721088_1913-11-2_1962.jpg,train
74,imdb_crop/44/nm0000044_rm2819788288_1913-11-2_1988.jpg,val
50,imdb_crop/44/nm0000044_rm3007560448_1913-11-2_1964.jpg,train
50,imdb_crop/44/nm0000044_rm3041114880_1913-11-2_1964.jpg,train
50,imdb_crop/44/nm0000044_rm3057892096_1913-11-2_1964.jpg,train
47,imdb_crop/44/nm0000044_rm3459154944_1913-11-2_1961.jpg,train
47,imdb_crop/44/nm0000044_rm3475932160_1913-11-2_1961.jpg,train
57,imdb_crop/44/nm0000044_rm3513563648_1913-11-2_1971.jpg,train
57,imdb_crop/44/nm0000044_rm3631004160_1913-11-2_1971.jpg,train
57,imdb_crop/44/nm0000044_rm3647781376_1913-11-2_1971.jpg,train
57,imdb_crop/44/nm0000044_rm3698113024_1913-11-2_1971.jpg,train
