dataset,regime,model,alpha,gamma,seed,rounds,tail,diverged,death_round,overall_tail,worst_group,worst_group_tail,group_tail_tier1,group_tail_tier2,group_tail_tier3,group_tail_tier4,group_tail_tier5,file
imdbwiki,feasible,fedavg,,,0,4000,500,0,,86.0104,tier5,107.985,79.3383,93.8702,81.0518,79.384,107.985,imdbwiki_feasible_fedavg_seed0.csv.gz
imdbwiki,feasible,fedavg,,,1,4000,500,0,,86.1475,tier5,107.595,79.7291,93.5272,81.7357,78.733,107.595,imdbwiki_feasible_fedavg_seed1.csv.gz
imdbwiki,feasible,fedavg,,,2,4000,500,0,,86.2754,tier5,107.514,79.3199,93.6086,82.0818,78.6285,107.514,imdbwiki_feasible_fedavg_seed2.csv.gz
imdbwiki,feasible,fedavg,,,3,4000,500,0,,86.9785,tier5,107.76,81.1092,93.4093,80.1155,78.0107,107.76,imdbwiki_feasible_fedavg_seed3.csv.gz
imdbwiki,feasible,fedavg,,,4,4000,500,0,,86.4461,tier5,107.385,79.9567,94.1567,79.6929,78.6824,107.385,imdbwiki_feasible_fedavg_seed4.csv.gz
imdbwiki,feasible,fedavg_mk,,,0,4000,500,1,48,1e+12,tier1,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,imdbwiki_feasible_fedavg_mk_seed0.csv.gz
imdbwiki,feasible,fedavg_mk,,,1,4000,500,1,30,1e+12,tier1,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,imdbwiki_feasible_fedavg_mk_seed1.csv.gz
imdbwiki,feasible,fedavg_mk,,,2,4000,500,1,26,1e+12,tier1,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,imdbwiki_feasible_fedavg_mk_seed2.csv.gz
imdbwiki,feasible,fedavg_mk,,,3,4000,500,1,39,1e+12,tier1,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,imdbwiki_feasible_fedavg_mk_seed3.csv.gz
imdbwiki,feasible,fedavg_mk,,,4,4000,500,1,46,1e+12,tier1,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,imdbwiki_feasible_fedavg_mk_seed4.csv.gz
imdbwiki,feasible,fedavot,,,0,4000,500,0,,84.0814,tier5,119.27,73.2652,98.9961,92.5357,93.2116,119.27,imdbwiki_feasible_fedavot_seed0.csv.gz
imdbwiki,feasible,fedavot,,,1,4000,500,0,,84.302,tier5,117.643,73.84,98.2856,93.7356,93.2413,117.643,imdbwiki_feasible_fedavot_seed1.csv.gz
imdbwiki,feasible,fedavot,,,2,4000,500,0,,84.324,tier5,117.637,72.8038,99.0182,93.9169,91.4057,117.637,imdbwiki_feasible_fedavot_seed2.csv.gz
imdbwiki,feasible,fedavot,,,3,4000,500,0,,84.5148,tier5,117.54,74.7981,97.0665,90.9868,89.9497,117.54,imdbwiki_feasible_fedavot_seed3.csv.gz
imdbwiki,feasible,fedavot,,,4,4000,500,0,,84.1701,tier5,116.836,73.4469,98.8833,90.5061,92.0802,116.836,imdbwiki_feasible_fedavot_seed4.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.10,0,4000,500,0,,104.788,tier5,133.212,99.6858,114.58,101.383,127.055,133.212,imdbwiki_feasible_fedavot_cvar_a0.10_g0.10_seed0.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.10,1,4000,500,0,,103.014,tier5,131.723,97.2978,112.704,104.186,124.237,131.723,imdbwiki_feasible_fedavot_cvar_a0.10_g0.10_seed1.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.10,2,4000,500,0,,101.991,tier5,131.308,96.0138,109.559,105.978,124.049,131.308,imdbwiki_feasible_fedavot_cvar_a0.10_g0.10_seed2.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.10,3,4000,500,0,,103.839,tier5,130.776,98.9595,111.697,101.747,123.062,130.776,imdbwiki_feasible_fedavot_cvar_a0.10_g0.10_seed3.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.10,4,4000,500,0,,104.55,tier5,130.56,99.8117,113.414,101.124,126.543,130.56,imdbwiki_feasible_fedavot_cvar_a0.10_g0.10_seed4.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.20,0,4000,500,0,,103.58,tier5,132.96,98.226,113.854,100.747,125.991,132.96,imdbwiki_feasible_fedavot_cvar_a0.10_g0.20_seed0.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.20,1,4000,500,0,,102.03,tier5,131.392,96.1814,111.926,103.552,123.815,131.392,imdbwiki_feasible_fedavot_cvar_a0.10_g0.20_seed1.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.20,2,4000,500,0,,100.743,tier5,130.087,94.7118,108.107,105.238,122.541,130.087,imdbwiki_feasible_fedavot_cvar_a0.10_g0.20_seed2.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.20,3,4000,500,0,,103.238,tier5,130.698,98.3112,111.338,101.334,122.469,130.698,imdbwiki_feasible_fedavot_cvar_a0.10_g0.20_seed3.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.20,4,4000,500,0,,102.68,tier5,129.151,97.5986,111.984,100.304,124.618,129.151,imdbwiki_feasible_fedavot_cvar_a0.10_g0.20_seed4.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.30,0,4000,500,0,,102.443,tier5,132.256,97.0216,112.694,100.252,125.254,132.256,imdbwiki_feasible_fedavot_cvar_a0.10_g0.30_seed0.csv.gz
imdbwiki,feasible,fedavot_cvar,0.10,0.30,1,4000,500,0,,100.594,tier5,130.142,94.7191,110.141,102.879,122.249,130.142,imdbwiki_feasible_fedavot_cvar_a0.10_g0.30_seed1.csv.gz
